subject,mean_reward,accuracy,mean conf,reward,cor,cj,fwd_emp,model,x_idx
46591,0.525122143496775,0.6375,4.19472593838146,0.55951230461125,0.8,4.0619349747725,-0.1625000000000001,lv_test,431
46633,0.5285353758235,0.6475,4.287395720088628,0.553197779324,0.835,4.090081012435,-0.1875,lv_test,432
46672,0.52198318165475,0.67,3.712428988011181,0.5580865492425,0.83,3.67021556536,-0.15999999999999992,lv_test,433
46687,0.5466550236015,0.7325,4.38847111083945,0.57588665399675,0.88,4.2950449733475,-0.14749999999999996,lv_test,434
46702,0.523014418194125,0.6775,4.529221339069993,0.55048170297075,0.78,4.5194613267425,-0.10250000000000004,lv_test,435
46729,0.5369617066025,0.7325,3.703247688293396,0.55938590573125,0.8425,3.7033333333525,-0.10999999999999999,lv_test,436
46750,0.5386415669096499,0.74,1.9103168667631119,0.542500093474125,0.7575,1.89081377522,-0.01749999999999996,lv_test,437
46756,0.519741830356775,0.6675,2.0968886088977943,0.5583366736499,0.8425,2.11587542085,-0.17500000000000004,lv_test,438
46792,0.51681571138475,0.63,4.713334313818373,0.56742503013975,0.8675,4.661105499445,-0.23750000000000004,lv_test,439
46822,0.5296075837975,0.6675,3.9412748700208704,0.56228836482525,0.8825,3.9246072577925,-0.21499999999999997,lv_test,440
46828,0.537080154708125,0.745,4.511037883355571,0.57137691640575,0.9125,4.4905303030125,-0.16749999999999998,lv_test,441
46912,0.54163316488325,0.75,3.774557382910753,0.560195962995,0.8525,3.7488665863749997,-0.10250000000000004,lv_test,442
46915,0.521211596351125,0.645,3.85701123480082,0.56884247593725,0.8875,3.7520675505175003,-0.24249999999999994,lv_test,443
46927,0.533371995741875,0.7,4.75110857998253,0.555666066656775,0.835,4.7471999466075,-0.135,lv_test,444
47008,0.5123350478209,0.6275,4.120252896389234,0.5558655886017501,0.8575,4.04048030324,-0.2300000000000001,lv_test,445
47182,0.546976789654875,0.7675,4.239172479987002,0.555692003463375,0.8475,4.253827305045,-0.08000000000000007,lv_test,446
47269,0.5508825063788749,0.795,4.229703479755853,0.555128059717875,0.815,4.2327840909050005,-0.019999999999999907,lv_test,447
47284,0.5438673375395,0.7575,3.9019894378733992,0.5619193351215,0.86,3.8984961399849998,-0.10250000000000004,lv_test,448
47317,0.5326191242664,0.6925,3.6066633324162582,0.5520609855512749,0.7775,3.58204272251,-0.08499999999999996,lv_test,449
47431,0.53229204297625,0.7,4.263183125578183,0.5345681543204001,0.725,4.245976480895,-0.025000000000000022,lv_test,450
