,subject,alpha_pos,alpha_neg,alpha_unchosen,beta,LL,Confidence Distance,lbound,hbound
35,46729.0,0.8075278916300693,0.73183916122514,0.09873377697378821,12.291503518876066,94.88588323761684,0.6010344501621707,1,5
36,46750.0,0.0,0.4814701466802656,0.0,12.329861567037181,274.82384604798006,1.5615929078107964,1,5
37,46756.0,0.5762154960789612,0.0,0.00046060229808311327,6.222015835493634,273.63832775257083,0.9631997826239305,1,5
38,46792.0,0.4936232483863185,0.5012995767956077,0.45352884248050923,21.66580246382557,64.70982706250419,0.3380238306375445,1,5
39,46822.0,0.7010082396428602,1.0,0.6896417172876864,1.6325798246169203,176.2994336633986,0.5644845544765625,1,5
40,46828.0,0.43844752126358877,0.4830759064970272,0.3944366226395404,5.769769229635599,96.69650978299228,0.5680957745145481,1,5
41,46912.0,0.15656312324624938,0.8657010765350188,0.07862331336181595,2.3826188026240613,193.61889794179012,0.4359916176914291,1,5
42,46915.0,0.26930210349866335,1.0,0.16874925866137272,2.364517346680257,151.90810144434488,0.36094878388521906,1,5
43,46927.0,1.0,0.9602104157890766,0.5212813921534332,17.324424055645892,69.72529948004927,0.4718962562482436,1,5
44,47008.0,0.1542660379855042,0.3572557528231089,0.14548523240885236,9.11059861869316,231.32236068805997,0.4771552107588661,1,5
45,47182.0,0.5650056963972536,0.5750492825739388,0.5676281969461185,6.693189443878458,96.82229958278631,0.2935548905911003,1,5
46,47269.0,0.7093031066810525,0.7768880429970005,0.7117645676151542,1.354844734069403,149.50174413224966,0.9392601977024458,1,5
47,47284.0,0.7276126655481181,0.7151291854566562,0.6017444974316978,6.63850703143498,99.94735063188268,0.44192641039119684,1,5
48,47317.0,0.6060008582798941,0.6292541159621667,0.5875205626010177,2.115142290861615,167.95247802939008,0.22323298410513778,1,5
49,47431.0,0.6400477311597285,0.6497255163044061,0.511978097374974,7.491783013235025,134.3576397989552,0.7488058588159606,1,5
50,47470.0,0.743226901953975,0.6731444687354332,0.29293093809071963,22.81383357371972,49.0791838631196,0.4285638813781293,1,5
