,sub,noise,Unnamed: 0,run,resp,reward,cor,cj,Q1,Q2,agent_nr
147,46114,3.1111111111111107,323499999.5,49.5,0.5709,0.510006782422612,0.54756,3.08034446897508,0.44677635056040316,0.48289477645054546,9.5
148,46114,3.555555555555556,366699999.5,49.5,0.580035,0.5179383030491376,0.587045,3.0350488520987047,0.42767478186217384,0.4753475340493301,9.5
149,46114,4.0,409899999.5,49.5,0.53825625,0.519502160919333,0.59587125,3.069593733531948,0.4620553662527308,0.4854431171541741,9.5
150,46159,0.0,21139999.5,49.5,0.53456125,0.560934415890316,0.79937375,4.5464187288771525,0.4477269524759652,0.47393479646875364,9.5
151,46159,0.4444444444444444,64339999.5,49.5,0.53185875,0.5572922382219196,0.78158375,3.8148865524758397,0.4514662784951345,0.4762764442281683,9.5
152,46159,0.8888888888888888,107539999.5,49.5,0.525235,0.5329970027123647,0.66285,3.491112488707376,0.4407392168408113,0.46482055136465644,9.5
153,46159,1.3333333333333333,150739999.5,49.5,0.52051875,0.5271388884899286,0.63313625,3.2854283835862654,0.47237899055614946,0.48595958710069664,9.5
154,46159,1.7777777777777777,193939999.5,49.5,0.57968125,0.5284778444949705,0.63422375,3.166038709466484,0.4059357333074278,0.45869517427617684,9.5
155,46159,2.2222222222222223,237139999.5,49.5,0.50237,0.5185054509962379,0.5946125,3.104123845341175,0.4720851819237074,0.4798347949738038,9.5
156,46159,2.6666666666666665,280339999.5,49.5,0.54189875,0.5163730600029816,0.57877875,3.0826165121874363,0.45433590735662505,0.4799242188513942,9.5
157,46159,3.1111111111111107,323539999.5,49.5,0.54815125,0.5160133705193334,0.57691125,3.0152488533025985,0.4547550034143393,0.4839037864722594,9.5
158,46159,3.555555555555556,366739999.5,49.5,0.5155875,0.5172229374306484,0.5870775,3.0082052945891995,0.4688986333256838,0.481939352914908,9.5
159,46159,4.0,409939999.5,49.5,0.5268175,0.5197565893127268,0.600655,2.995662492756608,0.4803840042747099,0.4927517623558202,9.5
160,46180,0.0,21179999.5,49.5,0.55552625,0.5559422959681871,0.78744625,4.521822086955686,0.43221925297178654,0.46906692197435956,9.5
161,46180,0.4444444444444444,64379999.5,49.5,0.54902875,0.5561620229906077,0.78804125,3.7677101656214327,0.4396235078661042,0.4725536720722806,9.5
162,46180,0.8888888888888888,107579999.5,49.5,0.5904425,0.5396191802291044,0.7007975,3.454666366392762,0.4101169951001799,0.4620949761856354,9.5
163,46180,1.3333333333333333,150779999.5,49.5,0.52388125,0.538178251226611,0.70183625,3.252454657616536,0.4658895742591969,0.4800847829077198,9.5
164,46180,1.7777777777777777,193979999.5,49.5,0.54094625,0.5296487511156013,0.65160875,3.1606657174887083,0.44567588358651583,0.4746099723152535,9.5
165,46180,2.2222222222222223,237179999.5,49.5,0.52831875,0.5179820203719936,0.59712875,3.117476969296759,0.45178841387715546,0.4704638301454028,9.5
166,46180,2.6666666666666665,280379999.5,49.5,0.528,0.5183506263173969,0.5986075,3.055015562125714,0.45841530619955384,0.47765146132448033,9.5
167,46180,3.1111111111111107,323579999.5,49.5,0.5174825,0.5190078663190854,0.5988825,3.065929631141281,0.4543448403269641,0.46914015668322623,9.5
168,46180,3.555555555555556,366779999.5,49.5,0.57786625,0.516815250109087,0.58602375,3.027453223777977,0.4374525870969367,0.48226260029595774,9.5
169,46180,4.0,409979999.5,49.5,0.55622875,0.5184627475851846,0.59667875,3.0364593083089892,0.4432841669329166,0.47780189388250655,9.5
170,46198,0.0,21219999.5,49.5,0.52873375,0.5573615202663352,0.77266625,4.472139250858516,0.442734588589655,0.46313462219414525,9.5
171,46198,0.4444444444444444,64419999.5,49.5,0.540855,0.5529279602788445,0.7491025,3.8681206743315175,0.4320622436389118,0.46015492112731465,9.5
172,46198,0.8888888888888888,107619999.5,49.5,0.5734875,0.5261337086418393,0.6161975,3.391557961995208,0.42295314728642147,0.4673421179384699,9.5
