,subject,alpha_pos,alpha_neg,alpha_unchosen,beta,lbound,bound_range,LL,Confidence Distance,hbound
21,46384.0,0.2813615969634567,0.2839062102557287,1.0,8.755114771028258e-08,2.7669294709765664,0.6658026544711095,4384.826755061592,0.270552443410853,4.253713756821574
22,46450.0,0.12827157072231318,0.0,0.004909323758204351,28.055814184935382,1.5983498528287208,0.9177662295953082,310.01391653608084,1.2494868970747393,4.720269482800431
23,46471.0,0.6080133761112665,0.7748637226979517,0.4720555528556678,100.0,1.7306189432571455,0.6771463625203711,3052.7524270620306,1.6987252381691043,3.9444684335235762
24,46486.0,0.3138070575562466,0.2912524899497287,0.3995787479409066,10.462244577961087,1.0,0.6520091621993988,111.81573258236011,0.6586033663100039,3.608036648797595
25,46489.0,0.2686157341901147,1.0,1.0,0.10214153229700629,3.6266804999647997,0.7875911860888432,6028.086736920957,0.7871956992805225,4.70829483387646
26,46522.0,0.8364302805959873,0.9618419706654827,0.7076607561981095,5.148354055333299,1.0,0.6377298681454584,120.34173430321448,0.36648904933846693,3.5509194725818336
27,46552.0,0.8179072111738526,1.0,0.8362195976999353,100.0,1.7603100534800138,0.9785479044227129,6948.6859024007435,0.20721526476401786,4.930501861626477
28,46555.0,0.15999246851283003,0.9327684752662896,0.09577849872870459,3.727619575014086,1.0,0.681265571240545,182.39424852122698,0.4452242558883394,3.72506228496218
29,46573.0,0.7229514365938908,0.79235041854268,0.5630488239120717,100.0,1.9668669674707446,0.7441308436474569,323.90051605204684,0.44165066289814364,4.223914809861708
30,46591.0,0.42853374648370435,0.8863034897601775,0.17721711907510082,7.69546193276384,1.169476084573716,0.996172606653568,156.15882720821617,0.4097735555733298,4.985339078252749
31,46633.0,0.0,0.8369677078677075,0.8035726794715417,5.423067474285698,3.7948207836383387,0.6612825391873041,23039.832447451772,0.5943352703852844,4.591784756009743
32,46672.0,0.8082751061761639,0.8042457002863591,0.6351107748188485,7.400015222864105,1.0,0.8606771137551233,66.99670093294986,0.3159211210957148,4.442708455020494
33,46687.0,0.5175308573349272,0.5810053156114624,0.44965660726141143,9.973383212615296,1.7068379008045158,0.9225120244642353,81.10905970188668,0.4483650320128468,4.744819535822233
34,46702.0,0.42451833229570995,0.8808495470488752,0.5750696884097091,2.6013154438660617,3.3091181550195263,0.939228769255139,5509.6385392017255,0.27956536259484754,4.897243029236395
35,46729.0,0.8733226439200421,0.7382429763913074,0.06108871001485712,15.045020645946375,1.0,0.9613086722574954,92.17542577294773,0.5934522561339106,4.845234689029981
